claim_id,manuscript_section,claim_summary,machine-readable source,supporting artifact,experiment_stage,evidence class,chronology_source,verification_status
C01,Methods/Results: support screen,Supported fraction changed from 0.360 (AllScale150) to 0.740 (Medium150).,03_support_screen/comparison.json,03_support_screen/report.md,original AllScale150-to-Medium150 training-only screen,CONFIGURATION / SCREENING — TRAINING-ONLY; DOWNSTREAM AP UNOPENED,14_audits/v45_1_c01_c02_chronology_audit.md,PASS
C02,Methods/Results: support screen,Scale-matched MMD squared changed from 0.190702 to 0.061202.,03_support_screen/comparison.json,03_support_screen/report.md,original AllScale150-to-Medium150 training-only screen,CONFIGURATION / SCREENING — TRAINING-ONLY; DOWNSTREAM AP UNOPENED,14_audits/v45_1_c01_c02_chronology_audit.md,PASS
C03,Results: xView test,Unity-Duplicate vessel AP50-95 effect was +0.007947.,04_head_only_results/ten_seed_head_only_results.csv,14_audits/v44_numerical_lock_audit.md,ten-seed head-only robustness expansion,ROBUSTNESS EXPANSION,01_protocols/ten_seed_head_only_en_ko.md,PASS
C04,Results: xView test,Unity-RealCutout vessel AP50-95 effect was +0.002402.,04_head_only_results/ten_seed_head_only_results.csv,14_audits/v44_numerical_lock_audit.md,ten-seed head-only robustness expansion,ROBUSTNESS EXPANSION,01_protocols/ten_seed_head_only_en_ko.md,PASS
C05,Results: external transfer,HRSC effects were +0.012097 versus Duplicate and +0.005035 versus RealCutout.,04_head_only_results/ten_seed_head_only_results.csv,06_external_transfer/hrsc_external.md,ten-seed head-only robustness expansion,ROBUSTNESS EXPANSION — EARLIER EFFICACY OUTCOMES KNOWN,01_protocols/ten_seed_head_only_en_ko.md,PASS
C06,Results: external transfer,DIOR effects were +0.005525 versus Duplicate and +0.004363 versus RealCutout.,04_head_only_results/ten_seed_head_only_results.csv,06_external_transfer/dior_external.md,ten-seed head-only robustness expansion,ROBUSTNESS EXPANSION — EARLIER EFFICACY OUTCOMES KNOWN,01_protocols/ten_seed_head_only_en_ko.md,PASS
C07,Results: scope interaction,"Historical-validation vessel scope DiD was +0.008532 with 95% CI [+0.005423,+0.011641].",05_scope_interaction/scope_summary_metrics.csv,14_audits/v44_numerical_lock_audit.md,v48 adaptation-scope validation decision stage,LOCALLY FROZEN PRIMARY,01_protocols/configs/validation_decision_lock.json,PASS
C08,Results/Limitations: Faster R-CNN,The Faster R-CNN primary gate failed and external evaluation remained locked.,08_faster_rcnn_negative_replication/aggregate_summary_sanitized.json,08_faster_rcnn_negative_replication/report.md,frozen cross-architecture replication,NEGATIVE REPLICATION,08_faster_rcnn_negative_replication/faster_rcnn_replication.json,PASS
C09,Results/Limitations: Small feasibility,The frozen Small selector was infeasible; this is not detector-efficacy evidence.,09_same_scale_feasibility/small_scale_feasibility_protocol_frozen.json,09_same_scale_feasibility/small_fresh_joint_gate_report.md,prospective Small-scale constructibility gate,PROSPECTIVE NEGATIVE FEASIBILITY,09_same_scale_feasibility/small_result_interpretation_audit.md,PASS
C10,Results/Limitations: historical support gate,Historical Medium150 support median was 0.074731 and the support gate passed.,09_same_scale_feasibility/medium150_pretraining_gate_results.json,09_same_scale_feasibility/medium150_pretraining_gate_report.md,historical-frame Medium150 pretraining feasibility gate,PROSPECTIVE FEASIBILITY,09_same_scale_feasibility/medium150_pretraining_gate_report.md,PASS
C11,Results/Limitations: historical Tenengrad,Historical High/Low Tenengrad distances were 0.522916/0.558463 and failed the frozen gate.,10_radiometry_and_tenengrad/medium150_radiometry_gate_metrics.csv,10_radiometry_and_tenengrad/medium150_radiometry_gate_report.md,historical-frame Medium150 pretraining feasibility gate,PROSPECTIVELY GATED NEGATIVE FEASIBILITY,10_radiometry_and_tenengrad/historical_medium150_tenengrad_failure_freeze.json,PASS
C12,Results/Limitations: candidate-pool diagnostic,Retained candidate-pool Tenengrad distance was 0.483845.,10_radiometry_and_tenengrad/tenengrad_distribution_comparison.csv,10_radiometry_and_tenengrad/tenengrad_distribution_comparison.md,post-result Tenengrad localization,POST-RESULT SENSITIVITY / DIAGNOSTIC,10_radiometry_and_tenengrad/historical_tenengrad_failure_diagnostic_classification.md,PASS
C13,Results/Limitations: same-scale efficacy,No same-scale High/Low detector training occurred and no same-scale AP exists.,09_same_scale_feasibility/medium150_pretraining_gate_results.json,09_same_scale_feasibility/medium150_pretraining_gate_report.md,prospectively gated same-scale feasibility sequence,PROSPECTIVELY GATED NEGATIVE FEASIBILITY — STOPPING-RULE RECORD,09_same_scale_feasibility/medium150_pretraining_gate_report.md,PASS
